pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Hypoaesthesia oral,14,12,2113,6084,3.359204921911973,1.5512447454484795,7.274324532287291,3.3436765397273156,9.234906201385071,1.0049269501164888,0.0808041463365563,True
Pruritus,28,26,2099,6070,3.114303514494081,1.8219233643002746,5.323432681327476,3.0864706520559837,17.801085623124585,0.978106893511794,0.3238079001517119,True
Therapeutic product effect decreased,23,24,2104,6072,2.765684410646388,1.5577189760966954,4.910391653865072,2.746591443347438,11.93747343207444,0.8926976929335176,0.17896092856209966,True
Dizziness,30,33,2097,6063,2.6284302249967486,1.5991388307993994,4.320228684724558,2.6054622387485575,14.543428810334822,0.8607020787141988,0.23707044804909128,True
Incorrect dose administered,20,24,2107,6072,2.4015187470336974,1.3239453372745191,4.356140793718023,2.388340385519511,7.854239111757702,0.786937559731693,0.031582972018707856,True
Overdose,23,31,2104,6065,2.1387066110634123,1.2442461423413125,3.6761745225098887,2.1263933754947906,7.076657172310109,0.6998057310246897,0.0013792862327813848,True
Vomiting,30,42,2097,6054,2.0621295728591864,1.2873486359517243,3.3032064947322284,2.0471489018738667,8.643400145951281,0.673435500528929,0.06246477918115689,True
Exposure via breast milk,5,0,2122,6096,28.727615457115927,1.5687660339782874,526.0669035261308,28.662435354960035,8.986068253513974,1.5163958925944552,-0.153110733985087,False
Surgical procedure repeated,5,0,2122,6096,28.727615457115927,1.5687660339782874,526.0669035261308,28.662435354960035,8.986068253513974,1.5163958925944552,-0.153110733985087,False
Chylothorax,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Injection site urticaria,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Intensive care,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Oral pain,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Procedural pneumothorax,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Rash vesicular,4,0,2123,6096,22.97126707489402,1.213889044569624,434.70127141084384,22.92994828396803,6.327989868390776,1.4353385208808755,-0.4022796974240055,False
Administration site irritation,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Anastomotic leak,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Application site erythema,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Blood creatinine increased,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Breast reconstruction,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Ecchymosis,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Electrocardiogram abnormal,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Endotracheal intubation complication,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Gastrointestinal haemorrhage,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Impaired gastric emptying,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Infusion site rash,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Lung disorder,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Ocular hyperaemia,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Peripheral artery occlusion,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Periprosthetic fracture,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Post procedural swelling,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Rebound effect,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Subcutaneous emphysema,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Visceral congestion,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
Wound,3,0,2124,6096,17.220338983050848,0.8622021371139779,343.9333561428879,17.197461212976023,3.791016579508472,1.3165060569157698,-0.7533487908711085,False
