pt,a,b,c,d,ROR,ROR_lower,ROR_upper,PRR,PRR_chi2,IC,IC025,signal
Dysuria,6,1,2121,1126,3.185289957567185,0.3829955814541749,26.491355527537152,3.1791255289139633,0.5403827509322963,0.35686155063744285,-1.1572768001352385,False
Renal failure,6,1,2121,1126,3.185289957567185,0.3829955814541749,26.491355527537152,3.1791255289139633,0.5403827509322963,0.35686155063744285,-1.1572768001352385,False
Abdominal pain upper,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Administration site irritation,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Administration site swelling,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Anaesthetic complication cardiac,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Anastomotic leak,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Application site erythema,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Brain injury,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Breast reconstruction,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Chronic obstructive pulmonary disease,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Dermatitis allergic,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Ecchymosis,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Electrocardiogram abnormal,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Empyema,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Endotracheal intubation complication,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
Extrasystoles,3,0,2124,1127,3.1836158192090394,0.1593259709817098,63.61429729169236,3.1805359661495065,0.05707074701715754,0.32840995335986073,-1.7403692536929,False
